מס.סידורי,טרנזקציה,תאריך העסקה,שם המוצר,חובה,זכות,חשבון בחובה,חשבון בזכות,גיליון,קישור טרנזקציה
161,3791464,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
162,3791464,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791464
163,3791467,2025-11-01,Credit card,180.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791467
164,3791467,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791467
165,3791467,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791467
166,3791467,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,60.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791467
167,3791470,2025-11-01,Credit card,268.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791470
168,3791470,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791470
169,3791470,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,134.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791470
170,3791481,2025-11-01,Credit card,250.0,,70100,,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
171,3791481,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
172,3791481,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
173,3791481,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
174,3791481,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
175,3791481,2025-11-01,גמר גביע ווינר: הפועל תל אביב,,50.0,,4242.0,נתונים נוספים,https://tickets.hapoel.co.il/Transaction2/Details?id=3791481
